Epoch,Train Loss,Train Accuracy,Validation Accuracy,Test Accuracy
10,1.2172086238861084,0.7428571428571429,0.394,0.392
20,0.34717774391174316,0.95,0.588,0.59
30,0.0343291312456131,1.0,0.566,0.59
40,0.0033436212688684464,1.0,0.596,0.61
50,0.0007115237531252205,1.0,0.606,0.618
60,0.00033350824378430843,1.0,0.61,0.622
70,0.0002234655839856714,1.0,0.612,0.628
80,0.0001814002898754552,1.0,0.614,0.629
90,0.00015988612722139806,1.0,0.614,0.63
100,0.0001455289893783629,1.0,0.612,0.631
110,0.00013470934936776757,1.0,0.614,0.63
120,0.00012606826203409582,1.0,0.614,0.629
130,0.00011849520524265245,1.0,0.614,0.631
140,0.00011171103687956929,1.0,0.614,0.631
150,0.0001055540851666592,1.0,0.616,0.631
160,9.992989362217486e-05,1.0,0.616,0.631
170,9.475250408286229e-05,1.0,0.622,0.631
180,8.997599070426077e-05,1.0,0.624,0.631
190,8.557058026781306e-05,1.0,0.626,0.631
